0912266U;École nationale supérieure d'informatique pour l'industrie et l'entreprise;ENSIIE;Écoles nationales supérieures d'ingénieurs;Public;Université d'Évry-Val d'Essonne;Île-de-France>Versailles>Essonne>Évry;91228;Évry;Paris;Essonne;Versailles;Île-de-France;1 SQUARE DE LA RESISTANCE;91025;EVRY CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);411;394;451;492;567;596
0940608A;École nationale vétérinaire d'Alfort;ENVA;Etablissement relevant d'un autre département ministériel rattaché à un EPSCP;Public;Université Paris-Est Créteil Val-de-Marne;Île-de-France>Créteil>Val-de-Marne>Maisons-Alfort;94046;Maisons-Alfort;Paris;Val-de-Marne;Créteil;Île-de-France;7 AVENUE DU GENERAL DE GAULLE;94704;MAISONS ALFORT CEDEX;France;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);636;680;644;650;682;682
0930603A;Institut supérieur de mécanique de Paris;Supméca;Instituts et écoles extérieurs aux universités;Public;;Île-de-France>Créteil>Seine-Saint-Denis>Saint-Ouen;93070;Saint-Ouen;Paris;Seine-Saint-Denis;Créteil;Île-de-France;3 RUE FERNAND HAINAUT;93407;ST OUEN CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);622;629;665;720;671;630
9710585J;Université des Antilles;;Université;Public;;Guadeloupe>Pointe-à-Pitre;97120;Pointe-à-Pitre;Pointe-à-Pitre - Les Abymes;Guadeloupe;Guadeloupe;Guadeloupe;;97157;POINTE A PITRE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);12663;12710;12820;12705;9845;10504
0910725U;Institut d'Optique Graduate School;IOGS;Établissements d'enseignement supérieur privés rattachés à un EPSCP;Privé;Université Paris-Sud;Île-de-France>Versailles>Essonne>Palaiseau;91477;Palaiseau;Paris;Essonne;Versailles;Île-de-France;2 AVENUE AUGUSTIN FRESNEL;91127;PALAISEAU CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);306;351;373;414;423;447
9730429D;Université de Guyane;;Université;Public;;Guyane>Cayenne;97302;Cayenne;Cayenne;Guyane;Guyane;Guyane;2091 ROUTE DE BADUEL;97337;CAYENNE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;2078;2234
0912330N;Université Paris-Saclay;;Communauté d'universités et établissements;Public;;Île-de-France>Versailles>Essonne>Saint-Aubin;91538;Saint-Aubin;Paris;Essonne;Versailles;Île-de-France;ROUTE DE L'ORME AUX MERISIERS - RD 128;91190;ST AUBIN;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0932066R;École nationale supérieure Louis Lumière;ENSLL;Autre établissement;Public;;Île-de-France>Créteil>Seine-Saint-Denis>Noisy-le-Grand;93051;Noisy-le-Grand;Paris;Seine-Saint-Denis;Créteil;Île-de-France;ALLEE DU PROMONTOIRE;93161;NOISY LE GRAND CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
3010001R;Institut français d'archéologie orientale du Caire;IFAO;École française à l'étranger;Public;;Étranger>Le Caire;;Le Caire;Étranger;Étranger;Étranger;Étranger;MOUNIRA BP QASR EL AINI;;11562 LE CAIRE;Égypte;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0952198Y;Institut polytechnique Grand Paris;IPGP;Communauté d'universités et établissements;Public;;Île-de-France>Versailles>Val-d'Oise>Cergy;95127;Cergy;Paris;Val-d'Oise;Versailles;Île-de-France;6 AVENUE DU PONCEAU;95014;CERGY PONTOISE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0211237F;Université de Bourgogne;;Université;Public;;Bourgogne-Franche-Comté>Dijon>Côte-d'Or>Dijon;21231;Dijon;Dijon;Côte-d'Or;Dijon;Bourgogne-Franche-Comté;;21078;DIJON CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);26118;26551;26254;26326;26357;26471
0751721N;Université Paris Descartes;;Université;Public;;Île-de-France>Paris>Paris>Paris 6e;75106;Paris 6e;Paris;Paris;Paris;Île-de-France;12 RUE DE L'ECOLE DE MEDECINE;75270;PARIS CEDEX 06;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);33209;31794;30988;30412;32978;33664
0311384L;Université de Toulouse 3 - Paul Sabatier;;Université;Public;;Occitanie>Toulouse>Haute-Garonne>Toulouse;31555;Toulouse;Toulouse;Haute-Garonne;Toulouse;Occitanie;118 ROUTE DE NARBONNE;31062;TOULOUSE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);27432;27653;28397;28766;29485;30562
9760358K;Centre Universitaire de Mayotte;CU de Mayotte;Autre établissement;Public;;Mayotte>Dembeni;97607;Dembeni;Dembeni;Mayotte;Mayotte;Mayotte;ROUTE NATIONALE 3;97660;DEMBENI;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;607;719;801;1048
0750736T;Université Paris-Dauphine;Paris-Dauphine;Grand établissement;Public;;Île-de-France>Paris>Paris>Paris 16e;75116;Paris 16e;Paris;Paris;Paris;Île-de-France;PLACE DU MARECHAL DE TASSIGNY;75775;PARIS CEDEX 16;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);9459;9717;9676;10237;9507;10176
0751717J;Université Paris 1 - Panthéon Sorbonne;;Université;Public;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;12 PLACE DU PANTHEON;75231;PARIS CEDEX 05;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);37908;39224;38833;40021;39532;39953
0720916E;Université du Maine;;Université;Public;;Pays de la Loire>Sarthe>Le Mans;72181;Le Mans;Le Mans;Sarthe;Nantes;Pays de la Loire;AVENUE OLIVIER MESSIAEN;72017;LE MANS CEDEX 1;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);10265;10258;10470;10323;9719;9699
